issue_id,severity,surface,blocker,fix_direction,validation_command
CHAT-001,S0,Chat/Ollama streaming,LLM response can appear infinite because backend treats HTTP stream EOF as completion instead of Ollama done=true terminal frame.,"On ChatToken{done:true}, append final token if present, collect usage/final metadata, emit terminal event, persist message/receipt, and break immediately. Do not wait for EOF.",cargo test -p gloss --test chat_stream_contract_done_frame_no_eof
CHAT-002,S0,Chat frontend event semantics,Terminal done is not emitted as part of chat:token; UI depends on separate chat:done emitted late.,"Make terminal event explicit: either emit chat:token with done:true exactly once, or emit chat:done immediately on done frame; define one contract and test it.",npm test -- --run chat_stream_terminal_event
CHAT-003,S0,Partial generation persistence,Partial streamed output is not durably persisted if provider times out/errors after tokens.,Persist a GenerationState row before streaming starts; append/commit partial content on every material chunk or on bounded intervals; mark completed/cancelled/partial_timeout/provider_error terminal state.,cargo test -p gloss chat_partial_persist_on_idle_timeout
CHAT-004,S0,Stop/cancel behavior,Stop streaming can create local frontend partial while backend provider may continue and later emit done/error.,"Make stop_chat backend-authoritative: cancellation token per generation, provider stream aborted, backend emits cancelled terminal event and persists partial exactly once. UI only renders backend state.",cargo test -p gloss chat_stop_cancels_provider_and_persists_once && npm test
CHAT-005,S0,Foreground chat scheduling,Background summary jobs can hold GPU/LLM gates and make chat appear hung even when Ollama is healthy.,Introduce priority leases: foreground chat preempts/cancels/degrades background LLM work before waiting; background must use short cancellable slices and never hold GPU across long provider calls.,cargo test -p gloss chat_preempts_background_summary_gate
CHAT-006,S1,Gate status/UX,Gate wait can look like infinite chat because waiting state is not a terminal/output state and SLOs are too high.,"Expose streaming phase state to UI with elapsed time, holder owner, cancel button, and hard UX SLO warnings.",npm test -- --run chat_status_phases
CHAT-007,S1,HTTP streaming timeout,"Ollama reqwest client has a 300s total body timeout, which conflicts with app-level streaming deadlines.","For streaming requests, remove global total timeout or override per request; enforce provider_start, first_token, stream_idle and max_wall_clock in application logic.",cargo test -p gloss ollama_streaming_uses_app_deadlines
CHAT-008,S1,Timeout proof,Timeout receipt claims static/path coverage but live timeout fixture was not exercised.,Make live timeout fixture mandatory for release gate or mark release blocked.,python3 validation/gloss_release_candidate_gate.py --repo . --run-id CURRENT
GEN-001,S1,Generation settings,Max tokens are hardcoded to 2048.,Add generation_max_tokens to settings DB/API/UI with validation bounds; include effective value in GenerationReceiptV1 and provider body num_predict.,cargo test -p gloss generation_max_tokens_setting && npm test
DB-001,S1,Message lifecycle schema,"messages table has no generation status, status reason, partial flag, or continuation lineage.","Add GenerationAttemptV1/MessageGenerationState columns or table with status enum, reason, attempt_id, continuation_of, last_chunk_at.",cargo test -p gloss db_generation_state_migration
UI-001,S1,Frontend error handling,Frontend error path may discard partial streaming content.,"On backend error/timeout, UI must preserve partial until backend terminal event says partial persisted/continuation available.",npm test -- --run chat_error_preserves_partial
UI-002,S1,Frontend local stop state,"Frontend creates assistant message locally on stop, risking mismatch with backend DB.",Remove local truth creation; stop must wait for backend cancelled terminal payload with message_id/status/content_digest.,npm test -- --run chat_stop_backend_sourced
API-001,S1,Command return semantics,"send_message returns immediately with assistant_message_id, not generation acceptance/start status.","Return GenerationAcceptedV1 with attempt_id, queue_state, backend will emit lifecycle events; UI must render queued vs streaming.",cargo test -p gloss send_message_returns_generation_accepted
REC-001,S1,Generation receipt schema,GenerationReceiptV1 lacks finish reason / terminated_by / done_seen_at / eof_seen / partial flags.,"Expand schema with terminal_cause, done_frame_seen, eof_seen, first_token_at, final_frame_at, stream_ended_at, chunks_seen, partial_persisted.",cargo test -p gloss generation_receipt_terminal_metadata
REC-002,S1,Invocation receipts on error,Provider invocation receipts are not proven durable for every error/timeout/cancel path.,"For every terminal branch, write LlmInvocationReceiptV1 and GenerationReceiptV1 before emitting UI terminal event.",cargo test -p gloss chat_terminal_branch_receipts
VALID-001,S0,Package scope gate,Transferred package fails package scope gate.,Generate/ship PACKAGE_SCOPE_MANIFEST.json in canonical location and make gate accept only that path; include digest and current run id.,python3 validation/gloss_package_scope_gate.py --repo .
VALID-002,S0,Validation script reference,run_all_checks.sh references validation/gloss_secret_store_permissions_gate.py but file is excluded/missing.,Rename gate to non-secret-like path or adjust certifier allowlist; include it; update run_all_checks.,bash scripts/run_all_checks.sh
VALID-003,S0,Release gate hang,release_candidate_gate can hang; a 20s wrapper timed out without structured failure.,"Wrap every subgate with timeout, capture stdout/stderr, emit JSON failure record and continue/abort by severity.",python3 validation/gloss_release_candidate_gate.py --repo . --run-id CURRENT --max-subgate-seconds 10
VALID-004,S1,Static gate false positives,Static audit passes despite activeNotebookId filter count 0 and unresolved runtime gaps.,"Change validators to fail on zero required scoping, no live fixture, stale receipt, missing artifact, and release_blocker=true.",python3 scripts/chat_runtime_static_audit.py --repo .
VALID-005,S1,Release blocker semantics,Receipts can have status=pass while release_blocker=true.,"Normalize receipt status enum: pass_release, pass_contract_only, blocked, failed; release gate blocks unless pass_release.",python3 validation/gloss_release_candidate_gate.py --repo . --run-id CURRENT
VALID-006,S1,Tool availability gate,Legacy Office extractor gate fails when xls2csv/catppt unavailable.,Declare optional vs required extractor binaries; UI/import receipts must show degraded support; installer docs must specify packages or bundle alternatives.,python3 validation/gloss_legacy_office_extractors_gate.py --repo .
PACK-001,S1,Package scope too broad,Context package archive root is /Coding with Gloss plus Libraries and many top-level unrelated docs.,Separate Gloss release/source package from Codex context package. Release package includes Gloss plus declared path deps only; no unrelated root docs.,python3 validation/gloss_package_scope_gate.py --repo . --strict-transfer
PACK-002,S1,Run truth drift,Codex archive sidecar reports current_run=P30 while CURRENT_RUN.md reports GLOSS_TOTAL_COMPLETION_AND_HARDENING_SUPERPASS_20260526.,Create single RunTruthV1 source and generate CURRENT_RUN/codex sidecar/final handoff from it.,python3 validation/gloss_run_truth_gate.py --repo .
SEC-001,S1,Secret scan findings unresolved,Package findings flag potential secret-like content in AGENT-SYSTEM.md and ollama.rs.,Manually inspect flagged lines; redact/rename false positives; add SecretScanFindingReceiptV1 with classification.,python3 validation/gloss_secret_scan_gate.py --repo .
SEC-002,S1,Filename heuristic breaks security proof,Secret-like filename exclusion removes security gate/receipt and vendor source files.,Use content-aware classification and allowlist required security tests/receipts; redact values not filenames.,python3 validation/gloss_packager_security_allowlist_gate.py --repo .
SEC-003,S1,Network/egress policy,Cloud/provider endpoints and local Ollama need explicit authority/egress receipts.,"Add ProviderAuthorityPolicyV1 and NetworkScopePolicyV1; local Ollama allowed by default, cloud providers opt-in with redaction and receipts.",cargo test -p gloss provider_authority_policy_blocks_unapproved_cloud
DESKTOP-001,S0,Desktop smoke release proof,Desktop smoke receipt is not release grade.,"Add real Tauri desktop smoke: launch app, import fixture, send mock/real chat, screenshot/state receipt, close cleanly.",python3 validation/live_desktop_smoke.py --repo .
INSTALL-001,S1,Installer smoke partial,Installer proof is partial; AppImage/post-install not fully exercised.,Test each targeted bundle on clean environment or demote release claim.,python3 validation/gloss_installer_smoke_gate.py --repo .
TQ-001,S1,TurboQuant runtime proof,TurboQuant exact runtime rerank proof not produced.,"Create TurboQuantRuntimeReceiptV1 with corpus, route, exact/degraded mode, before/after metrics, fallback behavior.",python3 validation/gloss_turboquant_runtime_gate.py --repo .
SM-001,S1,semantic-memory boundary proof,semantic-memory integration is included but live dense memory behavior is not fully proven in this audit.,Add live semantic-memory import/query/citation smoke receipt from Gloss command path.,python3 validation/live_semantic_memory_smoke.py --repo .
SOURCE-001,S1,Source-of-truth drift,Gloss may reimplement memory/retrieval/provenance semantics that belong in semantic-memory/ClaimLedger.,Produce owner map: Gloss owns UX/workflow; semantic-memory owns imported/queryable truth; ClaimLedger/evidence layer owns claim/evidence receipts. Remove or quarantine duplicates.,python3 validation/gloss_source_of_truth_drift_gate.py --repo .
IMPORT-001,S1,Broad import completion,"Legacy Office, media, URL/Youtube/import paths are degraded/partial and must not be claimed complete.","For every import type, emit ImportCapabilityReceiptV1: supported/degraded/unsupported with fixture evidence and UI disclosure.",python3 validation/gloss_import_capability_matrix_gate.py --repo .
DOCS-001,S1,Claim boundary,README/spec/docs may overclaim release readiness and broad feature completion.,Create PUBLIC_CLAIM_DIFF.md; demote all unproven claims to prototype/degraded/experimental.,python3 validation/gloss_public_claim_gate.py --repo .
BUILD-001,S0,Rust validation absent in this audit,"cargo/rustc are unavailable in the audit sandbox, so Rust build/test success is unproved here.",Run Rust checks in real dev env and include command receipts/log summaries.,cargo fmt --all -- --check && cargo check --workspace --all-targets && cargo test --workspace --all-targets
BUILD-002,S0,Live Ollama validation absent here,"ollama binary is unavailable in sandbox, so user-reported runtime bug cannot be live-reproduced here.",Run live Ollama smoke on user machine with known-good Ollama; collect terminal done/DB receipt.,python3 validation/live_ollama_chat_smoke.py --repo . --model <installed-model>
BUILD-003,S1,Frontend build only proves web bundle,npm build/test pass but do not prove Tauri/Rust/chat runtime.,Keep frontend checks but never use them as release gate alone.,npm test && cargo test --workspace --all-targets
RUN-001,S1,Codex pass too broad,Previous long pass produced broad changes but still left blockers; six-hour run without handoff is a control-plane failure.,"Next pass must be bounded, phase-gated, and stop after each blocker class with receipts.",python3 validation/codex_phase_receipts_gate.py --repo . --run-id CURRENT
RELEASE-001,S0,No-go release decision,"Current package contains blockers: package gate failure, missing live desktop proof, missing live Ollama/Rust proof in audit env, TQ proof gap.",Declare no-go until all acceptance gates are green with current receipts.,python3 validation/gloss_release_candidate_gate.py --repo . --run-id CURRENT
RELEASE-002,S1,Proof packet missing,No compact proof packet maps capabilities to commands/results/receipts/current blockers.,Generate RELEASE_PROOF_PACKET.md/JSON from receipts and validation logs.,python3 validation/gloss_release_proof_packet_gate.py --repo .
GATE-001,S1,Missing run/package receipt transfer,Fresh transfer lacks expected manifest at local gate path.,Ship normalized PackManifestV1 inside package root and use it as source.,python3 validation/gloss_package_scope_gate.py --repo .
GATE-003,S1,Gate aggregation lacks stable failure taxonomy,Some gates pass static checks while release blockers remain.,"Unify gate result schema: ok, severity, blockers[], warnings[], release_impact, receipt_refs.",python3 validation/gloss_gate_schema_gate.py --repo .
