id,severity,status,surface,evidence,root_cause,fix_direction,acceptance_gate
CHAT-001,S0,verified,Frontend send gate blocks chat when sourceListStatus is loading/partial/error,"src/components/chat/ChatPanel.tsx:72,163,477-489",Retrieval/source readiness is treated as provider precondition,Remove sourceListStatus from hard send/input/button disable; send SourceScope kind none; show warning only,UI/static test: sourceListStatus=error with input sends getSourceScope kind none
CHAT-002,S0,verified,Spawned chat task can return without terminal event on gate cancellation,"src-tauri/src/commands/chat/mod.rs:2401-2425,2456-2469",Cancellation path records trace only; frontend never receives clearable terminal event,Create emit_chat_terminal helper and require chat:cancelled/chat:error/chat:done for every spawned exit,Static gate: no return after spawn-start without terminal call; notebook switch clears isStreaming
CHAT-003,S0,verified,App filters terminal events by activeNotebookId before chatStore sees them,"src/App.tsx:54-56,78-80,87-90,107-109",Viewed notebook is confused with active stream identity,Route all chat lifecycle events to chatStore first; chatStore gates by streamingNotebookId/messageId,"Switch notebook mid-stream, terminal event still clears stream"
CHAT-004,S0,verified,Assistant DB persist failure still leads to chat:done,src-tauri/src/commands/chat/mod.rs:2556-2628,Provider completion is treated as user-visible completion even when durable assistant write fails,Treat DB insert failure as terminal error/partial-save failure; do not emit done unless persisted or cancellation/partial artifact exists,"Mock DB insert error: no chat:done, trace assistant_persisted=false, UI clears with recoverable error"
CHAT-005,S1,verified,GenerationReceiptV1 marks partial_persisted true before DB persistence,src-tauri/src/commands/chat/mod.rs:3268-3288,Receipt semantics are ahead of durable state,Split provider stream receipt from AssistantPersistenceReceiptV1 / PartialGenerationReceiptV1,Receipt test: no assistant_persisted/partial_persisted true until DB write succeeds
CHAT-006,S1,verified,Stop/cancel is frontend-local and contradicts backend persistence truth,src/stores/chatStore.ts:184-203; src-tauri/src/commands/chat/mod.rs:859-865,UI clears state before authoritative backend cancellation receipt,Implement backend cancellation receipt + chat:cancelled terminal event; UI waits or timeout-fallbacks with receipt,Stop test: backend emits cancel receipt and frontend clears from terminal event
CHAT-007,S1,verified,Done-frame coverage is marker-level only,src-tauri/src/commands/chat/mod.rs:3615-3624,Test does not run token->done(true)->no EOF through backend+frontend,Add fake provider integration test and frontend event test,Test fails if done=true without EOF leaves stream open
DIAG-001,S0,verified,Provider smoke and last trace functions exist but are not operator visible,src/lib/tauri.ts:340-349; src/components/settings/SettingsDialog/index.tsx:694,Correct diagnostic primitive exists but is hidden from user/debug flow,"Add Settings/Chat buttons: Run Ollama provider smoke, Copy last ChatAttemptTraceV1, Copy provider config summary",Manual UI proof: trace can be copied after failed/successful chat
PROVIDER-001,S1,verified-conditional,Local providers reject LAN URLs by policy,"src-tauri/src/providers/mod.rs:177-184,548-551",Only loopback allowed despite LAN Ollama being common operator topology,Add explicit allow_lan_local_providers default false; allow RFC1918/private only with opt-in; keep rejecting public/credential/query/fragment,Provider tests cover loopback/LAN default/LAN opt-in/public/credentials/query/fragment
PROVIDER-002,S1,verified,Default model qwen3:8b can be stale/missing,src/stores/settingsStore.ts; src-tauri/src/db/migrations.rs,Default model is seeded independent of actual Ollama model list,On provider/model refresh validate default exists; if missing choose with notice or block with explicit model selection error,Fixture: missing default but one model available yields explicit repair/notice
PROVIDER-003,S2,verified,Provider Test conflates reachability with selected-model chat readiness,Settings provider test path vs debugChatProviderSmoke,Connectivity check does not prove chat endpoint/model works,Split Provider Reachable and Chat Smoke,UI shows both results with trace phase
PROVIDER-004,S2,verified,Provider URL save does not force model registry refresh,SettingsDialog handleProviderSave,Model registry/default model may remain stale after URL change,Refresh models after provider save or mark models stale and require refresh before chat,Changing URL updates model list before chat send
FRONT-001,S1,verified,sendMessage invoke-return branch can preserve streaming after context mismatch,src/stores/chatStore.ts:152-169,Frontend assumes later events will clean up after it returns on mismatched active notebook/conversation,Introduce ActiveStreamState independent of active conversation; route terminal by stream id,Conversation switch during invoke cannot leave isStreaming=true
FRONT-002,S1,verified,Notebook switch policy split between store preservation and App event filtering,src/stores/chatStore.ts:310-324; src/App.tsx event filters,State preservation and event filters conflict,Centralize lifecycle in chatStore; App filters only display/toasts,E2E notebook switch no orphan spinner
FRONT-003,S2,verified,Source status partial/error becomes chat availability failure,src/stores/sourceStore.ts stats mismatch; ChatPanel disables send,Index/stats drift blocks unrelated local chat,Partial/error is retrieval degradation only; add DB doctor/index refresh CTA,Stats mismatch fixture still allows chat kind none
RETR-001,S1,scope,Retrieval decision can still be unclear to user,UI evidence/receipt surfaces,User cannot tell no-retrieval vs degraded retrieval vs selected source failure,Add retrieval decision card attached to each answer with reason codes and source scope,Answer without sources shows explicit no-retrieval disclosure
RETR-002,S1,scope,Semantic-memory/TurboQuant claims still require live proof receipts,Prior audit receipts missing or not release-grade,Dependency/feature presence is being treated as capability proof,"Add live dense index, semantic memory, and TQ receipts with fixture corpus and UI proof",Fresh run creates LIVE_*_RECEIPT.json and shows in UI
PERSIST-001,S0,verified,User visible done can precede durable DB write,chat/mod.rs DB insert path,Completion semantics collapse provider stream complete and durable user-visible message complete,Define terminal event ordering: provider_complete -> persistence_success -> evidence_persisted -> chat:done,Trace ordering test asserts done after persistence success
PERSIST-002,S1,scope,Partial output recovery is not durable enough,stopStreaming message says partial not saved,Timeout/error/cancel discards/relegates partial content,Persist PartialGenerationV1 with continuation action and recovery UI,Interrupt after tokens: partial record exists and Continue uses it
PACKAGE-001,S0,verified,Package root includes broad /Coding top-level material,report included top-level paths beyond Gloss/Libraries,Codex context package and release source package are conflated,Separate Gloss release package root from Codex context pack; gate top-level paths,Fresh package scope gate passes and excludes unrelated /Coding files
PACKAGE-002,S0,verified,run_all_checks references validation file excluded from package,report findings script-ref-not-archived validation/gloss_secret_store_permissions_gate.py,Secret filename heuristic excludes active validator,Rename validator or add allowlist by digest; run_all_checks may not reference missing files,Fresh package no script-ref-not-archived
PACKAGE-003,S1,verified,Codex archive current_run is stale P30,Gloss-generic-rust-next-codex-context-20260527T064920Z.codex-archive.json current_run P30,Multiple run-truth surfaces are not reconciled,"Introduce CurrentRunTruthV1; generate CURRENT_RUN, final receipt, codex-archive sidecar from it",Run truth gate compares all current-run projections
PACKAGE-004,S1,verified,Expected root files not packaged due archive-root confusion,report rust/node/git expected file warnings,Adapter expects root at /Coding while app root is Gloss,Make z.py app_root vs archive_root aware; expected-file checks evaluated against Gloss root,Warnings disappear or are scoped
VALID-001,S0,verified,Aggregate release gate can hang/timed out in prior audit,gloss_release_candidate_gate.py under timeout,Child command stop law missing/insufficient,"Every validation child has timeout, JSON result, stdout/stderr path, and aggregate never hangs",Run under timeout returns structured pass/fail JSON
VALID-002,S1,verified,Tauri security audit currently fails dialog save permission justification,scripts/audit_tauri_security.py prior result,Permission surface wider than proven or validator stale,Map every Tauri permission to frontend callsite; remove or justify precisely,audit_tauri_security.py emits permission-to-callsite map and passes
SEC-001,S1,verified,"Secret scanner mixes real risk, vendor fixtures, and validator filenames",findings secret-content and secret-like filenames,All secret hits treated same; active validator excluded,"Classify real secret/test fixture/vendor fixture/validator false positive; redact real, manifest fixtures by digest",Secret scan has zero unclassified active findings
BUILD-001,S0,environment-limited,Rust build/test not independently verified in this sandbox,cargo/rustc unavailable in prior audit,No fresh local Rust receipts attached,Run cargo fmt/check/test/clippy locally and include logs/receipts in package,Fresh command receipts with toolchain versions
UX-001,S1,scope,User sees spinner/error ambiguity instead of branch classification,No trace UI; status text not enough,Operational branch is invisible,"Add Chat Failure Inspector panel with phase, provider, model, URL class, first token, done, persistence, terminal event",Failed chat immediately shows branch and copy trace button
UX-002,S2,scope,Model/settings UI does not prevent stale provider/model choice,settings store defaults + UI selection,User can select unavailable/stale model or not understand disabled state,"Disable send with explicit selected-model error only, not spinner; one-click refresh/select",Unavailable model shows actionable error before request
CLAIM-001,S1,scope,Release/public claims can outrun evidence,package has warnings; receipts drift,Docs/final receipts can claim pass while gates fail,Public claim boundary doc generated from final gates only,README/push decision generated from gate JSON; no manual contradiction
