feature_id,feature_name,category,current_status,evidence,missing_work,rc_required,broad_required,owner_module,dependencies,tests,receipts,phase,claim_boundary
F001,Text file ingestion,ingestion,implemented_unproven,source extract handles text-like paths; live receipt incomplete,receipt/live fixture,yes,yes,src-tauri/src/ingestion,builtin,fixture import,IngestionReceiptV1,P000-P020,claim only after live fixture
F002,Markdown/code ingestion,ingestion,implemented_unproven,text extraction covers markdown/code; package scripts present,source span/citation proof,yes,yes,src-tauri/src/ingestion,builtin,md/code fixture,IngestionReceiptV1,P000-P020,safe after fixture
F003,Paste ingestion,ingestion,partial,UI/source command likely supports paste/add source,receipt and source lifecycle proof,yes,yes,sources commands/frontend,builtin,paste fixture,IngestionReceiptV1,P000-P020,safe after fixture
F004,Folder import,ingestion,partial,folder import exists,terminal counts must match ingestion failures,yes,yes,sources commands,std fs,failing file fixture,ImportBatchReceiptV1,P030-P036,do not claim reliable until counts fixed
F005,PDF ingestion,ingestion,degraded,"bounded pure-Rust PDF text extraction fixture passed",OCR/forms/layout fidelity and scanned PDFs,no,yes,ingestion/extract,pdf-extract,pdf fixture,DocumentExtractorReceiptV1,P076-P080,claim degraded embedded text extraction only
F006,DOC/DOCX ingestion,ingestion,degraded,"bounded DOCX OOXML text extraction fixture passed; legacy .doc antiword CLI extraction has strict tool receipt gate",layout/source-map/rendering fidelity and richer metadata,no,yes,ingestion/extract,zip+quick-xml+antiword,docx fixture + legacy_office gate,DocumentExtractorReceiptV1; LegacyOfficeExtractorReceiptV1,P081-P083,claim degraded text extraction only
F007,XLS/XLSX/CSV ingestion,ingestion,degraded,"CSV/TSV import is text; XLSX shared-string and worksheet-value extraction fixture passed; legacy .xls xls2csv CLI extraction has strict tool receipt gate",formula/chart/range/table semantics and layout fidelity,no,yes,ingestion/extract,zip+quick-xml/csv+xls2csv,xlsx/csv fixtures + legacy_office gate,DocumentExtractorReceiptV1; LegacyOfficeExtractorReceiptV1,P084-P086,claim degraded cell/text extraction only
F008,PPT/PPTX ingestion,ingestion,degraded,"bounded PPTX slide text extraction fixture passed; legacy .ppt catppt CLI extraction has strict tool receipt gate",speaker notes/layout/media extraction,no,yes,ingestion/extract,zip+quick-xml+catppt,pptx fixture + legacy_office gate,DocumentExtractorReceiptV1; LegacyOfficeExtractorReceiptV1,P087-P088,claim degraded slide text extraction only
F009,EPUB ingestion,ingestion,degraded,"bounded EPUB mimetype/container/spine XHTML extraction fixture passed; DRM/readability unsupported",DRM handling/readability/navigation fidelity,no,yes,ingestion/extract,zip+quick-xml,epub fixture,DocumentExtractorReceiptV1,P089-P090,claim degraded spine text extraction only
F010,HTML/URL import,ingestion,degraded,"HTML files import as source text; URL import supports one-shot user-consented HTTP(S) text fetch with public-host DNS redirect content-type byte and timeout limits",crawling/authenticated fetch/robots cache/high-fidelity readability extraction,no,yes,ingestion/web,reqwest+regex,url boundary tests + URL import gate,UrlImportReceiptV1,P091-P093,claim degraded one-shot URL text fetch only
F011,YouTube transcript import,ingestion,partial,public YouTube caption tracks import as timestamped transcript text with per-import consent strict video-id parsing bounded watch/transcript fetches and YouTubeTranscriptReceiptV1 metadata,no video download authenticated transcript access generated transcription or private/cookie-only captions,no,yes,ingestion/web,reqwest+serde_json,cargo test youtube_transcript + YouTube transcript gate,YouTubeTranscriptReceiptV1,P094-P095,claim public caption-track transcript import only
