issue_id,severity,family,title,evidence,likely_root_cause,fix_direction,acceptance_test,status,source
GATE-001-current_run_truth,S0,acceptance_gate,Acceptance gate must pass: current_run_truth,phase_range=P000-P005; command_or_test=validation/gloss_current_run_truth_gate.py; expected=all run IDs match; failure_action=block packaging,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",validation/gloss_current_run_truth_gate.py,must_pass,VALIDATION/acceptance_gate_matrix.csv
GATE-002-package_scope,S0,acceptance_gate,Acceptance gate must pass: package_scope,phase_range=P000-P005; command_or_test=validation/gloss_package_scope_gate.py; expected=no unrelated root docs; failure_action=repair packager,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",validation/gloss_package_scope_gate.py,must_pass,VALIDATION/acceptance_gate_matrix.csv
GATE-005-timeout_partial,S0,acceptance_gate,Acceptance gate must pass: timeout_partial,phase_range=P019-P024; command_or_test=timeout continuation tests; expected=partial saved and continued; failure_action=block RC,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",timeout continuation tests,must_pass,VALIDATION/acceptance_gate_matrix.csv
GATE-006-semantic_runtime_truth,S0,acceptance_gate,Acceptance gate must pass: semantic_runtime_truth,phase_range=P010-P024; command_or_test=runtime truth tests; expected=backend truth attached; failure_action=block semantic claim,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",runtime truth tests,must_pass,VALIDATION/acceptance_gate_matrix.csv
GATE-009-turboquant,S0,acceptance_gate,Acceptance gate must pass: turboquant,phase_range=P034-P036; command_or_test=TQ runtime gate; expected=exact proof or demotion; failure_action=block TQ claim,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",TQ runtime gate,must_pass,VALIDATION/acceptance_gate_matrix.csv
GATE-012-release_candidate,S0,acceptance_gate,Acceptance gate must pass: release_candidate,phase_range=P066-P075; command_or_test=validation/gloss_release_candidate_gate.py; expected=release_ready legal; failure_action=block release,Gate currently represents required release/spec proof; some gates fail in current extracted package or are not proven in this environment.,"Implement missing code, receipts, fixtures, and current-run docs until gate passes without suppression.",validation/gloss_release_candidate_gate.py,must_pass,VALIDATION/acceptance_gate_matrix.csv
GLOSS-NP34-S0-001,S0,existing_issue,,docs/codex-runs/CURRENT_RUN.md says Current run: P30 while AGENTS.md and README point to GLOSS_P33_RELEASE_CANDIDATE_SM_TQ_SETTINGS_GUI_20260519; package.json desktop-smoke calls archived p33 script.,Codex archive normalization moved P33 scripts but not all active references/receipts; multiple active truths remain.,"Create a single CurrentRunTruthV1: choose next run GLOSS_P34_RUNTIME_TRUTH_INGESTION_REPAIR_20260524; update CURRENT_RUN.md, AGENTS.md, README validation block, package.json scripts, release receipt references; move P33 final receipt to historical/non-release unless replayed.",,closed_p0_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S0-002,S0,existing_issue,,"FINAL_RECEIPT.json under P33 has release_ready=true, but commands reference scripts/p33_release_preflight.py, p33_current_run_gate.py, p33_desktop_smoke_harness.py, and others that are missing from active scripts.",Final receipt was not invalidated after stale-run script archival.,Set old receipt release_ready=false with supersession_reason or move to archive. New run must write FINAL_RECEIPT.json only after fresh-unzip replay and runtime smoke pass.,,closed_p0_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S0-003,S0,existing_issue,,"Runtime log shows dozens of ingestion failures for notebook 5c5c4f6e... not found, then a new notebook 256c66ca... is created and active state changes, while background ingestion continues against the missing notebook.",Folder import captures a stale notebook_id and does not validate notebook existence before scheduling/walking/creating source records; background jobs lack notebook epoch/import batch identity.,"Add ImportBatchV1 with notebook_id, notebook_epoch, import_batch_id. Validate notebook exists before spawn and at job start. Missing/superseded notebook cancels jobs as cancelled_superseded, not failed. Do not create source rows for missing notebooks.",,closed_p1_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S0-004,S0,existing_issue,,Runtime log reports Background folder ingestion complete count=183 after many missing-notebook failures. UI shows 183 sources loaded although first import failed against missing notebook.,Folder import counts attempted/created sources but not success/failure/cancelled terminal states.,"Folder import receipt must include found, created, ingested_ready, failed, skipped_duplicate, skipped_unsupported, cancelled_superseded; UI must display partial/failure counts.",,closed_p1_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S0-005,S0,existing_issue,,Runtime log: semantic-memory manifest ingest failed: Ollama HTTP 400 input length exceeds context length on a source with 9262 words / 47 chunks.,Adapter sends a whole source/chunk manifest through one semantic-memory ingest call without a local payload budget or retry splitting.,"Add projection batching by chunk count + estimated tokens/chars. On Ollama context-length error, retry smaller batches and record per-chunk/source ProjectionFailureRecordV1. One large source must not fail whole notebook projection state.",,closed_p2_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S0-006,S0,existing_issue,,"Screenshot shows 12 context passages, 0 valid citations, 6 filtered. Log shows context assembled from 12 passages and provider response completed.",Citation extraction depends on model-emitted numeric refs and filters unanchored/mismatched refs without detailed reasons; BM25 fallback does not have a release-grade CitationAnchorV1 path.,"Introduce CitationAnchorV1 for every ContextPassage; model gets anchor list; backend validates citations by source_id, chunk_id, quote_digest; filtered citations carry reason codes and UI displays them.",,closed_p4_verified,ISSUE_LEDGER.csv
GLOSS-NP34-S0-007,S0,existing_issue,,"Screenshot shows the answer/evidence panel dumping a massive comma-separated list of selected source UUIDs into the chat surface, hiding useful output/composer area.",EvidenceDrawer joins selected/effective/excluded source ID arrays directly for normal display.,"Replace normal display with compact source scope summary: all 183 sources, explicit 12 selected, excluded count. Put full IDs only behind collapsed diagnostics + copy JSON. Cap panel height.",,closed_p5_verified,ISSUE_LEDGER.csv
GLOSS-S0-001,S0,existing_issue,,live gate negative for dense/projection/TQ/desktop,live proof not produced,complete live smoke and receipts,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S0-002,S0,existing_issue,,feature-disabled marker appended for forced fallback,coarse reason mapping,exact fallback taxonomy,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S0-003,S0,existing_issue,,RetrievalCapabilityDecisionV1 not canonical,parallel truth surfaces,make decision object source of truth,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S0-004,S0,existing_issue,,settings state not backend proof,no backend-authored truth snapshot,SemanticMemoryRuntimeTruthV1,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S0-005,S0,existing_issue,,FastEmbed semantic store not live-proven,diagnostics shallow,semantic store open/ingest/search diagnostic,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
GLOSS-S0-006,S0,existing_issue,,live_projection_sources=0,no live fixture/backfill proof,strict fixture import->project->search,,open_blocker,07_MASTER_ISSUE_LEDGER.csv
