ID,Severity,Surface,Failure mode,Root cause,Fix direction,Acceptance gate
GLOSS-P36-S0-001,S0,Build profile,TurboQuant not guaranteed in release build,"Cargo default includes semantic-memory-backend, but TQ is only optional",Make semantic-memory-turbo-quant the release/default feature or force release scripts to build sm-tq,Static gate proves default/release build includes semantic-memory-turbo-quant and cargo test --features semantic-memory-turbo-quant passes
GLOSS-P36-S0-002,S0,Dense indexing,Native dense indexing disabled,"NATIVE_SEMANTIC_INDEXING_ENABLED=false and folder import embed_chunks=false",Enable dense indexing with bounded queue/backfill and receipts,Static gate proves dense disabled const removed/true and live receipt shows dense vectors created
GLOSS-P36-S0-003,S0,Source state,Contradictory not-ready counts,"source.status carries lifecycle and semantic-memory projection states",Add source_processing_state and rich frontend state,No UI path computes readiness from raw source.status when rich state exists
GLOSS-P36-S0-004,S0,semantic-memory projection,Ollama embedding input exceeds context length,"Projection batches/subchunks exceed embedder context",Add budget probe and deterministic subchunking without silent truncation,Strict projection corpus has zero context_length failures or blocks release
GLOSS-P36-S1-005,S1,Folder import,Dense indexing and summary queue skipped for folder imports,"Folder import hardcodes embed_chunks=false queue_summary=false",Queue dense indexing/summaries after folder import with throttled replay,Import 500+ files then drains dense+summary queues or records per-source failures
GLOSS-P36-S1-006,S1,Summary UX,Hundreds of summaries reported as running,"pending+processing collapsed",Expose pending/processing/failed/missing/stale separately,UI never says N running unless N processing jobs exist
GLOSS-P36-S1-007,S1,Replay,Release replay not self-contained,"logs/screenshots/fixtures excluded from generic package",Create release-evidence profile,Fresh-unzip replay has all non-secret evidence artifacts
GLOSS-P36-S1-008,S1,Public claims,Bundle/docs overclaim unproven surfaces,"metadata/docs not aligned to feature matrix",Rewrite README/Tauri metadata/feature matrix,Public claim diff has no blocked claims left
GLOSS-P36-S2-009,S2,UI polish,Visible escaped separator,"JSX text node contains literal \u00B7",Use literal bullet or expression,Static gate finds no visible \u00 escapes in TSX text nodes
GLOSS-P36-S2-010,S2,Warnings,Package warnings unclassified,"vendor secret-like filenames and local ollama warning mixed",Classify local vs vendor warnings,PACKAGE_WARNING_REVIEW.md exists and release gate reads it
