id,severity,surface,evidence,root_cause,fix_direction,acceptance_gate,status,phase
GLOSS-NP34-S0-001,S0,Run truth / release gate,docs/codex-runs/CURRENT_RUN.md says Current run: P30 while AGENTS.md and README point to GLOSS_P33_RELEASE_CANDIDATE_SM_TQ_SETTINGS_GUI_20260519; package.json desktop-smoke calls archived p33 script.,Codex archive normalization moved P33 scripts but not all active references/receipts; multiple active truths remain.,"Create a single CurrentRunTruthV1: choose next run GLOSS_P34_RUNTIME_TRUTH_INGESTION_REPAIR_20260524; update CURRENT_RUN.md, AGENTS.md, README validation block, package.json scripts, release receipt references; move P33 final receipt to historical/non-release unless replayed.",python3 scripts/gloss_current_run_truth_gate.py --repo .,closed_p0_verified,P0
GLOSS-NP34-S0-002,S0,Receipt integrity / false release readiness,"FINAL_RECEIPT.json under P33 has release_ready=true, but commands reference scripts/p33_release_preflight.py, p33_current_run_gate.py, p33_desktop_smoke_harness.py, and others that are missing from active scripts.",Final receipt was not invalidated after stale-run script archival.,Set old receipt release_ready=false with supersession_reason or move to archive. New run must write FINAL_RECEIPT.json only after fresh-unzip replay and runtime smoke pass.,python3 scripts/gloss_receipt_integrity_gate.py --repo . && python3 scripts/gloss_current_run_truth_gate.py --repo .,closed_p0_verified,P0
GLOSS-NP34-S0-003,S0,Runtime import identity,"Runtime log shows dozens of ingestion failures for notebook 5c5c4f6e... not found, then a new notebook 256c66ca... is created and active state changes, while background ingestion continues against the missing notebook.",Folder import captures a stale notebook_id and does not validate notebook existence before scheduling/walking/creating source records; background jobs lack notebook epoch/import batch identity.,"Add ImportBatchV1 with notebook_id, notebook_epoch, import_batch_id. Validate notebook exists before spawn and at job start. Missing/superseded notebook cancels jobs as cancelled_superseded, not failed. Do not create source rows for missing notebooks.",cargo test folder_import_rejects_missing_notebook folder_import_cancels_on_notebook_supersession no_orphan_sources_after_failed_import,closed_p1_verified,P1
GLOSS-NP34-S0-004,S0,Import completion truth,Runtime log reports Background folder ingestion complete count=183 after many missing-notebook failures. UI shows 183 sources loaded although first import failed against missing notebook.,Folder import counts attempted/created sources but not success/failure/cancelled terminal states.,"Folder import receipt must include found, created, ingested_ready, failed, skipped_duplicate, skipped_unsupported, cancelled_superseded; UI must display partial/failure counts.",cargo test folder_import_receipt_counts_failures && npm test -- folderImport,closed_p1_verified,P1
GLOSS-NP34-S0-005,S0,Semantic-memory projection,Runtime log: semantic-memory manifest ingest failed: Ollama HTTP 400 input length exceeds context length on a source with 9262 words / 47 chunks.,Adapter sends a whole source/chunk manifest through one semantic-memory ingest call without a local payload budget or retry splitting.,"Add projection batching by chunk count + estimated tokens/chars. On Ollama context-length error, retry smaller batches and record per-chunk/source ProjectionFailureRecordV1. One large source must not fail whole notebook projection state.",cargo test semantic_projection_batches_large_sources semantic_projection_retries_context_length semantic_projection_records_per_chunk_failures,closed_p2_verified,P2
GLOSS-NP34-S0-006,S0,Citation correctness,"Screenshot shows 12 context passages, 0 valid citations, 6 filtered. Log shows context assembled from 12 passages and provider response completed.",Citation extraction depends on model-emitted numeric refs and filters unanchored/mismatched refs without detailed reasons; BM25 fallback does not have a release-grade CitationAnchorV1 path.,"Introduce CitationAnchorV1 for every ContextPassage; model gets anchor list; backend validates citations by source_id, chunk_id, quote_digest; filtered citations carry reason codes and UI displays them.",cargo test bm25_context_emits_citation_anchors citation_filter_reports_reason_codes answer_evidence_preserves_source_chunk_links,closed_p4_verified,P4
GLOSS-NP34-S0-007,S0,Evidence UI flood,"Screenshot shows the answer/evidence panel dumping a massive comma-separated list of selected source UUIDs into the chat surface, hiding useful output/composer area.",EvidenceDrawer joins selected/effective/excluded source ID arrays directly for normal display.,"Replace normal display with compact source scope summary: all 183 sources, explicit 12 selected, excluded count. Put full IDs only behind collapsed diagnostics + copy JSON. Cap panel height.",npm test -- evidenceDrawer && npm run build,closed_p5_verified,P5
GLOSS-NP34-S1-008,S1,Retrieval truth / capability arbitration,"UI shows Backend requested semantic-memory-preview, Backend used gloss-local, Retrieval bm25-only, Memory semantic-memory-preview failed, Dense coverage 0/294. Log says native dense warmup skipped because native indexing disabled or scope empty.","Requested backend, effective backend, feature availability, projection readiness, and fallback reason are spread across fields and can look contradictory.","Create RetrievalCapabilityDecisionV1 with requested_backend, effective_backend, decision_reason, build_feature_available, runtime_enabled, projection_ready, dense_ready, fallback_allowed, degraded. UI renders this one object.",cargo test retrieval_capability_semantic_disabled_uses_bm25_truthfully retrieval_capability_projection_required_discloses_fallback,closed_p3_verified,P3
GLOSS-NP34-S1-009,S1,source_scope_preserved semantics,chat/mod.rs sets source_scope_preserved to invalid_source_ids.is_empty(); gloss_local and semantic adapter provenance use source_scope_preserved=true even when fallback/degraded/filtering may occur.,"Preservation is treated as valid-ID check only; it ignores fallback type, missing chunks, semantic backpointer filtering, unanchored passages, and strict scope enforcement path.","Derive SourceScopeIntegrityV1: requested ids valid, effective ids match allowed set, no out-of-scope candidates, no unanchored context, fallback class allowed, projection links preserved. Only then preserved=true.",cargo test source_scope_integrity_false_on_fallback source_scope_integrity_false_on_unanchored_context source_scope_integrity_false_on_backpointer_filtering,closed_p3_verified,P3
GLOSS-NP34-S1-010,S1,Validation scripts stale paths,"check:sm-tq-profile fails because scripts expect src-tauri/src/db/notebook_db.rs, src-tauri/src/commands/sources.rs, src-tauri/src/commands/chat.rs, src/components/settings/SettingsDialog.tsx, which were refactored to mod.rs/index.tsx paths.",Validators hard-code pre-refactor paths instead of using a source path map.,Add scripts/gloss_source_path_map.py and update all validators to read current files; stale-path references become release blockers.,python3 scripts/gloss_validator_path_gate.py --repo . && npm run check:sm-tq-profile,closed_p0_verified,P0
