id,severity,surface,evidence,current_failure_mode,root_cause,fix_direction,acceptance_gate,phase,rollback,claim_boundary,status
GLOSS-S0-001,S0,release receipts,live gate negative for dense/projection/TQ/desktop,release cannot be claimed,live proof not produced,complete live smoke and receipts,gloss_live_receipt_gate ok,P066-P071,restore previous receipts; keep release_ready false,no release-ready claim,open_blocker
GLOSS-S0-002,S0,semantic-memory reason codes,feature-disabled marker appended for forced fallback,settings appear wrong even when enabled,coarse reason mapping,exact fallback taxonomy,projection_required fallback lacks feature_disabled,P025-P028,revert chat reason-code patch,no semantic-memory claim,open_blocker
GLOSS-S0-003,S0,retrieval decision,RetrievalCapabilityDecisionV1 not canonical,footer/evidence/settings disagree,parallel truth surfaces,make decision object source of truth,decision object in every answer,P016-P020,revert decision plumbing,no answer-path claim,open_blocker
GLOSS-S0-004,S0,runtime truth,settings state not backend proof,enabled settings still fall back,no backend-authored truth snapshot,SemanticMemoryRuntimeTruthV1,truth receipt attached to answer,P010-P015,remove new command and keep old fields,settings not proof,open_blocker
GLOSS-S0-005,S0,FastEmbed proof,FastEmbed semantic store not live-proven,semantic-memory can still fail despite native embed,diagnostics shallow,semantic store open/ingest/search diagnostic,semantic_store_open_ok true,P021-P024,remove diagnostic path only,no FastEmbed semantic claim,open_blocker
GLOSS-S0-006,S0,semantic projection,live_projection_sources=0,semantic-memory not serving selected sources,no live fixture/backfill proof,strict fixture import->project->search,live_projection_sources>0,P029-P033,keep projections disabled,no semantic-memory claim,open_blocker
GLOSS-S0-007,S0,TurboQuant,exact rerank/artifact missing,TQ contribution false/unproven,compile proof only,runtime exact rerank/artifact digest or demote,exact_rerank_count>0 or claim demoted,P034-P036,demote to compiled-only,no TQ contribution claim,open_blocker
GLOSS-S0-008,S0,decoding settings,temperature hardcoded 0.7,operator cannot know/change answer temp,ChatRequest too narrow,GenerationSettings + provider capability map,temp visible and configurable,P006-P012,restore hardcoded temp and mark blocker,no reproducibility claim,open_blocker
GLOSS-S0-009,S0,prompt/generation receipts,prompt/effective request not captured fully,inspector cannot prove prompt/context/settings,missing receipt schemas/storage,PromptReceiptV1 + GenerationReceiptV1,sample receipts included,P013-P018,remove UI if capture unavailable,no prompt visibility claim,open_blocker
GLOSS-S0-010,S0,timeout reliability,long local gen times out,lost/failed answer,timeout too short/no partial continuation,40% increase + partial persistence + continuation,partial timeout fixture passes,P019-P024,rollback timeout constants,no stable long-gen claim,open_blocker
GLOSS-S0-011,S0,package current-run,sidecar current_run P30,Codex may trust wrong run,packager reads stale/default run,derive from CURRENT_RUN,sidecar current_run matches,P060-P063,restore packager with blocker,package not clean,open_blocker
GLOSS-S0-012,S0,package scope,archive includes unrelated Coding root docs,context contamination,archive root too broad,scope Gloss + explicit deps,package scope gate pass,P060-P065,old packaging allowed but blocked,Codex context contaminated,open_blocker
GLOSS-S1-013,S1,command receipts,COMMANDS_RUN.log excluded,audit package misses commands,log-disabled packaging,emit jsonl/md command receipts,command receipts included,P066-P071,keep current logs and mark blocker,receipts incomplete,open_blocker
GLOSS-S1-014,S1,Inspector Dock,Notes monopolizes right panel,evidence hidden,UI layout too narrow,right dock tabs,dock smoke passes,P040-P048,"revert dock, preserve notes",UI proof incomplete,open_blocker
GLOSS-S1-015,S1,source health,dense/projection/summary status scattered,operator confused,local UI guesses,source health from backend truth,source tab smoke passes,P049-P054,hide source health tab,truth fragmented,open_blocker
GLOSS-S1-016,S1,summary queue,pending shown running,lag diagnosis false,counter conflation,split pending vs processing,queue UI tests pass,P055-P058,revert copy and mark blocker,status misleading,open_blocker
GLOSS-S1-017,S1,existing notebooks,old sources unreconciled,settings changes do not repair state,no reconcile command,source health reconcile/backfill,reconcile fixture passes,P037-P039,quarantine command,legacy notebooks degraded,open_blocker
GLOSS-S1-018,S1,provider fields,unsupported fields may be sent/hidden,provider errors or fake controls,no capability matrix,provider capability map,unsupported fields not sent,P006-P012,hide advanced controls,provider support claim blocked,open_blocker
GLOSS-S2-019,S2,fastembed version,"spec says 5.x, Cargo uses 4.x",doc/source drift,version mismatch,upgrade or doc correction,Cargo/docs agree,P072-P073,defer with drift note,no version claim,open
GLOSS-S2-020,S2,broad spec,many features missing,NotebookLM-style claim unsafe,scope too broad,post-RC phased broad roadmap,broad gate remains blocked,P076-P110,keep non-goals,no broad feature-complete claim,open
