id,audit,severity,status,surface,evidence,root_cause,fix,validation
CHAT-001,A1 Chat/Ollama runtime contract,S0,verified-code,Frontend send gate,src/components/chat/ChatPanel.tsx:71-76 blocks handleSend when sourceListStatus is loading/partial/error; src/stores/sourceStore.ts:23-30 already returns SourceScope {kind:none} for those statuses.,Retrieval/source-list readiness is treated as a hard precondition for chat even though a no-retrieval fallback exists.,"Remove sourceListStatus from hard send/input disable path. Let getSourceScope() degrade to {kind:""none""}. Display a non-blocking warning: Source context unavailable; asking model without retrieval.","Frontend test/static gate: with sourceListStatus=error and non-empty input, send button enabled and sendMessage called with SourceScope kind none."
CHAT-002,A1 Chat/Ollama runtime contract,S0,verified-code,Backend spawned task terminal events,src-tauri/src/commands/chat/mod.rs:2401-2425 GPU gate Ok(None) returns without chat:done/chat:error; 2456-2469 LLM gate Ok(None) same; 2630-2662 suppresses CHAT_CANCELLED_NOTEBOOK_SWITCH errors.,Cancellation/notebook-switch paths record traces but do not emit a terminal event that the UI can use to clear streaming state.,"Introduce one terminalization helper for spawned task exits. Every exit must emit exactly one of chat:done, chat:error, or chat:cancelled; frontend must clear streaming on all terminal event types.",Static gate: no `return;` in spawned stream task after streaming state starts unless immediately preceded by terminal event emission. Unit/integration test for notebook-switch cancellation clears isStreaming.
CHAT-003,A1 Chat/Ollama runtime contract,S0,verified-code,Backend persistence vs terminal done,src-tauri/src/commands/chat/mod.rs:2511-2518 emits chat:done after active notebook switch and before assistant persistence; 2556-2569 logs DB insert failure but still continues to evidence/done.,Completion event is emitted even when assistant message is not durably persisted.,"Do not emit chat:done unless persistence succeeded or a typed PartialGenerationReceipt/CancellationReceipt exists. DB insert failure must emit chat:error or chat:partial_saved_failure and clear UI as error, not done.","Mock DB insert failure test: backend emits chat:error, not done; assistant_persisted=false; UI clears streaming and displays recoverable partial output."
CHAT-004,A1 Chat/Ollama runtime contract,S1,verified-code,Generation receipts,src-tauri/src/commands/chat/mod.rs:3216-3288 creates GenerationReceiptV1 with partial_persisted true inside stream_chat_response before the outer DB insert path proves assistant persistence.,Receipt semantics are ahead of actual durable persistence.,Split provider-stream receipt from assistant-persistence receipt. Only mark assistant_persisted/partial_persisted after NotebookDb insert succeeds; otherwise record unpersisted_partial with recovery data.,Receipt schema test: stream completion without DB insert cannot produce assistant_persisted=true or partial_persisted=true.
CHAT-005,A1 Chat/Ollama runtime contract,S1,verified-code,Stop/cancel handshake,src/stores/chatStore.ts:184-203 clears local stream and says partial output was not saved; src-tauri/src/commands/chat/mod.rs:859-865 stop_chat only bumps active_epoch.,"Stop is frontend-local state mutation plus backend epoch bump, not a durable cancellation handshake.",Add backend cancellation receipt/terminal event. UI should wait for terminal cancellation event or display pending cancellation state with timeout fallback.,Stop button test: backend emits cancellation event; frontend clears streaming only after event or records timeout fallback; no contradiction between UI message and backend persistence.
CHAT-006,A1 Chat/Ollama runtime contract,S1,verified-code,Ollama done-frame regression coverage,src-tauri/src/commands/chat/mod.rs:3615-3624 tests provider_done_terminal_decision only; it does not run a fake provider stream through backend/UI.,"The previous done-frame fix has marker-level tests, not end-to-end behavioral proof.",Add fake provider stream test: token frame -> done=true frame -> no EOF -> backend emits terminal event -> UI finalizes and persists assistant.,Test fails if backend waits for EOF or UI remains streaming after done frame.
FRONT-001,A2 Frontend state/event lifecycle,S0,verified-code,Tauri event routing,src/App.tsx:54-56 drops chat:token if payload.notebook_id != activeNotebookId; 78-80 drops chat:status; 87-90 drops chat:error; 107-109 drops chat:evidence.,"Event routing uses the currently viewed notebook as the authority for terminal stream lifecycle, but an in-flight stream has its own message/notebook identity.","Route terminal events to chatStore first. chatStore should ignore only if payload does not match streamingNotebookId/streamingMessageId. ActiveNotebook filtering can govern display/toasts, not stream cleanup.",Unit test: switch active notebook after send; backend emits done/error for original notebook; isStreaming clears and no orphan spinner remains.
FRONT-002,A2 Frontend state/event lifecycle,S1,verified-code,sendMessage invoke-return branch,"src/stores/chatStore.ts:152-169 returns after backend invoke if localStorage active notebook or activeConversation mismatch, without clearing streaming.",Frontend assumes later events will clean up even when it has already decided the active context no longer matches.,"On mismatch, either preserve stream under a stream manager independent of active conversation or explicitly clear/transfer streaming state and mark it detached.",Test activeConversation changes while invoke is in-flight: no lingering isStreaming true.
FRONT-003,A2 Frontend state/event lifecycle,S1,verified-code,Notebook switch behavior,src/stores/chatStore.ts:310-324 resetForNotebookSwitch preserves streaming state while src/App.tsx activeNotebook filters can drop future events.,Notebook switching policy is split across store and App listener filters.,"Centralize active-stream identity and event routing. Preserve stream if desired, but terminal event must always reach stream owner.","E2E: start chat, switch notebook, wait for backend cancellation/done; UI for original/active notebook does not remain spinner-only."
FRONT-004,A2 Frontend state/event lifecycle,S2,verified-code,Source status partial/error loop,"src/stores/sourceStore.ts:511-530 can set sourceListStatus partial/error based on stats/source mismatch, and ChatPanel currently turns that into hard send-disable.",Index/stats drift becomes a chat availability failure.,"Keep partial/error as retrieval warning only. Add DB doctor/index refresh CTA, not chat disable.",Source stats mismatch fixture: chat still sends with no retrieval; UI shows source warning.
