issue_id,severity,surface,issue,evidence,root_cause,fix_direction,acceptance_gate,validation_command
CHAT-001,S0,Chat/Ollama streaming,LLM response can appear infinite because backend treats HTTP stream EOF as completion instead of Ollama done=true terminal frame.,"src-tauri/src/commands/chat/mod.rs: in stream_chat_response, done sets sent_done=true but loop continues; chat:token emits done:false; emit_chat_done happens after loop EOF.",Terminal condition conflated provider frame protocol with transport EOF.,"On ChatToken{done:true}, append final token if present, collect usage/final metadata, emit terminal event, persist message/receipt, and break immediately. Do not wait for EOF.",Add mock provider/stream test that yields tokens then done=true and never EOF; backend must finish within <1s and frontend must leave streaming state.,cargo test -p gloss --test chat_stream_contract_done_frame_no_eof
CHAT-002,S0,Chat frontend event semantics,Terminal done is not emitted as part of chat:token; UI depends on separate chat:done emitted late.,chat:token emission hardcodes done:false even when token frame had done=true.,Backend event schema lost terminal bit; done/delta event split creates race.,"Make terminal event explicit: either emit chat:token with done:true exactly once, or emit chat:done immediately on done frame; define one contract and test it.","Frontend test receives token, terminal frame, evidence; exactly one assistant message finalized.",npm test -- --run chat_stream_terminal_event
CHAT-003,S0,Partial generation persistence,Partial streamed output is not durably persisted if provider times out/errors after tokens.,send_message inserts assistant Message only after stream_chat_response returns Ok. Timeout receipt admits durable partial persistence still needs runtime fixture.,Persistence is success-finalization only; partial/error states are UI-local or receipt-only.,Persist a GenerationState row before streaming starts; append/commit partial content on every material chunk or on bounded intervals; mark completed/cancelled/partial_timeout/provider_error terminal state.,"Kill provider after first token; DB contains assistant partial, PartialGenerationReceiptV1, continuation plan.",cargo test -p gloss chat_partial_persist_on_idle_timeout
CHAT-004,S0,Stop/cancel behavior,Stop streaming can create local frontend partial while backend provider may continue and later emit done/error.,chatStore.stopStreaming creates local message and clears state; backend cancellation authority not proven.,Cancellation lives in two planes: UI approximation and backend runtime are not reconciled.,"Make stop_chat backend-authoritative: cancellation token per generation, provider stream aborted, backend emits cancelled terminal event and persists partial exactly once. UI only renders backend state.",Stop after two tokens; no duplicate messages; provider future cancelled; DB status=cancelled.,cargo test -p gloss chat_stop_cancels_provider_and_persists_once && npm test
CHAT-005,S0,Foreground chat scheduling,Background summary jobs can hold GPU/LLM gates and make chat appear hung even when Ollama is healthy.,Summary processor acquires GPU/LLM gates and has 180s process timeout; chat gate waits up to 120s.,Foreground and background share scarce gates without preemptive runtime lease semantics.,Introduce priority leases: foreground chat preempts/cancels/degrades background LLM work before waiting; background must use short cancellable slices and never hold GPU across long provider calls.,Start fake summary provider blocked; send chat; chat starts within SLO and summary records cancellation/degradation.,cargo test -p gloss chat_preempts_background_summary_gate
CHAT-006,S1,Gate status/UX,Gate wait can look like infinite chat because waiting state is not a terminal/output state and SLOs are too high.,CHAT_GATE_WAIT_TIMEOUT=120s; provider/first/idle timeouts 180/168/84s.,Status surface does not distinguish queued/gate-wait/provider-start/first-token/idle well enough.,"Expose streaming phase state to UI with elapsed time, holder owner, cancel button, and hard UX SLO warnings.","UI test shows Waiting for LLM gate, then provider started, then first token; stale phase warns after 10s.",npm test -- --run chat_status_phases
CHAT-007,S1,HTTP streaming timeout,"Ollama reqwest client has a 300s total body timeout, which conflicts with app-level streaming deadlines.",src-tauri/src/providers/ollama.rs uses ClientBuilder.connect_timeout(10s).timeout(300s). Reqwest timeout covers until response body finished.,Transport-level total timeout is mixed with semantic provider deadlines.,"For streaming requests, remove global total timeout or override per request; enforce provider_start, first_token, stream_idle and max_wall_clock in application logic.",Slow long generation streams for >300s with active tokens does not die due reqwest total timeout; idle stream dies by app idle deadline.,cargo test -p gloss ollama_streaming_uses_app_deadlines
CHAT-008,S1,Timeout proof,Timeout receipt claims static/path coverage but live timeout fixture was not exercised.,TIMEOUT_CHANGE_RECEIPT says live_timeout_fixture_exercised=false and full durable partial persistence needs runtime fixture.,Release proof was accepted without live runtime challenge.,Make live timeout fixture mandatory for release gate or mark release blocked.,release_candidate_gate fails unless timeout fixture receipt exists and is current.,python3 validation/gloss_release_candidate_gate.py --repo . --run-id CURRENT
GEN-001,S1,Generation settings,Max tokens are hardcoded to 2048.,stream_chat_response declares let max_tokens = 2048; settings schema lacks generation_max_tokens.,User/settings model incomplete; generation behavior not fully configurable or receipted.,Add generation_max_tokens to settings DB/API/UI with validation bounds; include effective value in GenerationReceiptV1 and provider body num_predict.,Change setting to 64; provider mock receives num_predict=64; receipt records 64.,cargo test -p gloss generation_max_tokens_setting && npm test
GEN-002,S2,Reasoning/thinking output,Ollama provider sends think:false but UI/runtime has no explicit receipt field proving thought suppression.,"ollama.rs sets ""think"": false.","Privacy/security intent is implementation detail, not evidence.",Record think=false / reasoning_output_policy in provider invocation receipt; test no thinking channel displayed.,Provider receipt has reasoning_output_policy=disabled.,cargo test -p gloss ollama_thinking_disabled_receipt
DB-001,S1,Message lifecycle schema,"messages table has no generation status, status reason, partial flag, or continuation lineage.",migrations.rs messages schema contains role/content/timestamps/source_refs/receipt_ref but not lifecycle state.,"Chat state is spread across messages, receipts, UI, and side channels.","Add GenerationAttemptV1/MessageGenerationState columns or table with status enum, reason, attempt_id, continuation_of, last_chunk_at.",Migration preserves existing messages; failed/partial/cancelled states queryable.,cargo test -p gloss db_generation_state_migration
DB-002,S2,Receipt linkage,Generation receipts can be orphaned or insufficiently linked to partial/cancelled messages.,generation_receipts table exists but lifecycle linkage is weak.,Receipt schema not normalized as source of terminal state.,Add FK-like application constraint and validator linking every generation receipt to conversation/message/attempt.,DB doctor reports no orphan generation receipts.,cargo test -p gloss generation_receipts_have_message_backpointers
UI-001,S1,Frontend error handling,Frontend error path may discard partial streaming content.,chatStore.sendMessage catch clears streamingContent; setStreamingError behavior must be audited.,"UI treats errors as cleanup, not state transition over partial artifact.","On backend error/timeout, UI must preserve partial until backend terminal event says partial persisted/continuation available.",Inject chat:error after token; UI displays partial and continuation affordance.,npm test -- --run chat_error_preserves_partial
UI-002,S1,Frontend local stop state,"Frontend creates assistant message locally on stop, risking mismatch with backend DB.",chatStore.stopStreaming constructs assistant message from streamingContent.,UI is writing a truth-like state not sourced from backend receipt.,Remove local truth creation; stop must wait for backend cancelled terminal payload with message_id/status/content_digest.,Stop path produces one backend-sourced assistant message.,npm test -- --run chat_stop_backend_sourced
UI-003,S2,Event filtering,Static audit reports activeNotebookId event filter count 0 while passing.,chat_runtime_static_audit log says activeNotebookId filters found: 0.,Validator tolerates missing notebook scoping.,Require every chat event handler to verify notebook_id/conversation_id against active state before mutation.,"Open two notebooks, stream in one; other does not mutate.",npm test -- --run chat_events_scoped_to_active_notebook
UI-004,S2,Frontend watchdog,UI has no independent stale stream watchdog tied to backend phases.,No proven test for UI transition when backend stops emitting events.,State machine lacks last_event_at watchdog.,"Add frontend watchdog that shows stale phase and allows cancel, without inventing completion.","No event for 15s -> stale status, not infinite spinner.",npm test -- --run chat_stream_watchdog
API-001,S1,Command return semantics,"send_message returns immediately with assistant_message_id, not generation acceptance/start status.",Backend spawns task and returns assistant id before gates/provider start.,API conflates enqueue with generation start.,"Return GenerationAcceptedV1 with attempt_id, queue_state, backend will emit lifecycle events; UI must render queued vs streaming.",Invoke returns queued; provider mock starts later; UI state correct.,cargo test -p gloss send_message_returns_generation_accepted
API-002,S2,Provider smoke parity,"Provider smoke tests may not exercise same chat path, gate path, and UI event path as real chat.","Existing provider smoke referenced, but user reproduced failure with real chat.",Smoke tests are too narrow.,"Add full end-to-end mock/real Ollama smoke: invoke send_message through Tauri command, observe events, persist message.","Live smoke receipt contains model, prompt digest, done_seen, assistant chars, DB row.",python3 validation/live_ollama_chat_smoke.py --repo .
